Timestep,Lymphocytes,TriggeringCells,TumorCells,TumorCellsRad,DoomedCells,DoomedCellsRad,Lymphocytes DieProb,Tumor DieProbRad,Tumor DieProbImm,Tumor DivProb,SurvivingFractionTLast,PrimaryImmuneResponse,SecondaryImmuneResponse,ImmuneResponse,LymphocyteMigrationAttempted,ImmuneSuppression
0,0,500,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
1,0,499,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
2,0,498,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
3,0,497,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
4,0,496,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
5,0,495,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
6,0,494,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
7,0,493,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
8,0,492,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
9,0,491,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
10,0,490,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
11,0,489,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
12,0,488,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
13,0,487,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
14,0,486,3,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
15,0,485,3,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
16,0,484,4,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
17,0,483,5,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
18,0,482,6,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
19,0,481,6,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
20,0,480,8,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
21,0,479,10,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
22,0,478,12,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
23,0,477,13,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
24,0,476,17,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
25,1,475,21,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,1,0.1
26,2,474,21,0,3,0,0.045,0.0,0.07713513652878815,0.20026167537325298,1.0,0.07665375097267972,4.8138555610842865E-4,0.07713513652878815,1,0.1
27,3,473,23,0,5,0,0.045,0.0,0.10819739746503336,0.19352116475008777,1.0,0.10704377698943131,0.0011536204756020573,0.10819739746503336,1,0.1
28,4,472,21,0,8,0,0.045,0.0,0.12010015582065808,0.1909382661869172,1.0,0.11820421288811864,0.0018959429325394422,0.12010015582065808,1,0.1
29,4,471,19,0,13,0,0.045,0.0,0.13624358211498766,0.1874351426810477,1.0,0.13350920139767083,0.002734380717316815,0.13624358211498766,0,0.1
30,5,470,21,0,12,0,0.045,0.0,0.14394291770140222,0.1857643868587957,1.0,0.14032728165529018,0.0036156360461120376,0.14394291770140222,1,0.1
31,6,469,23,0,14,0,0.045,0.0,0.1449520577430657,0.18554540346975476,1.0,0.14045436826425414,0.004497689478811554,0.1449520577430657,1,0.1
32,6,468,31,0,15,0,0.045,0.0,0.14376811497782319,0.18580231904981237,1.0,0.13840126555134916,0.005366849426474026,0.14376811497782319,1,0.1
33,7,467,35,0,18,0,0.045,0.0,0.1231375625416035,0.19027914892847206,1.0,0.11703572873865076,0.006101833802952753,0.1231375625416035,1,0.1
34,8,466,31,0,22,0,0.045,0.0,0.11810942107054946,0.19137025562769078,1.0,0.11130856945144166,0.006800851619107807,0.11810942107054946,1,0.1
35,8,465,27,0,29,0,0.045,0.0,0.12898512186658728,0.18901022855495056,1.0,0.12142174170954353,0.007563380157043741,0.12898512186658728,1,0.1
36,8,464,25,0,34,0,0.045,0.0,0.14009781918143402,0.1865987732376288,1.0,0.13170731707317077,0.008390502108263254,0.14009781918143402,1,0.1
37,8,463,25,0,36,0,0.045,0.0,0.147012407372296,0.18509830760021176,1.0,0.13775679260646417,0.009255614765831848,0.147012407372296,1,0.1
38,9,462,24,0,38,0,0.045,0.0,0.14787752002986462,0.18491057815351936,1.0,0.13775679260646417,0.010120727423400443,0.14787752002986462,1,0.1
39,10,461,27,0,39,0,0.045,0.0,0.15415780741168097,0.18354775579166524,1.0,0.14313817226644723,0.011019635145233731,0.15415780741168097,1,0.1
40,10,460,29,0,37,0,0.045,0.0,0.14686743514523373,0.1851297665734843,1.0,0.135,0.01186743514523373,0.14686743514523373,1,0.1
41,11,459,30,0,42,0,0.045,0.0,0.1420006849322113,0.18618585136971014,1.0,0.129321113196106,0.012679571736105276,0.1420006849322113,1,0.1
42,12,458,30,0,43,0,0.045,0.0,0.14127479706886562,0.18634336903605617,1.0,0.12779268725678772,0.013482109812077904,0.14127479706886562,1,0.1
43,12,457,29,0,45,0,0.045,0.0,0.14300619207733806,0.18596765631921766,1.0,0.12871574737176547,0.014290444705572591,0.14300619207733806,1,0.1
44,13,456,30,0,44,0,0.045,0.0,0.14653505501343883,0.1852018930620838,1.0,0.13141929712194045,0.015115757891498377,0.14653505501343883,1,0.1
45,13,455,32,0,48,0,0.045,0.0,0.14543634116693052,0.18544031396677607,1.0,0.12950727757227823,0.015929063594652286,0.14543634116693052,1,0.1
46,14,454,31,0,46,0,0.045,0.0,0.1411505764290727,0.18637032491489122,1.0,0.1244400294494777,0.016710546979595006,0.1411505764290727,1,0.1
47,15,453,33,0,47,0,0.045,0.0,0.14508007587005597,0.18551762353619786,1.0,0.1275683993425895,0.017511676527466467,0.14508007587005597,1,0.1
48,15,452,33,0,47,0,0.045,0.0,0.14151761449061734,0.18629067765553603,1.0,0.1232320407472581,0.01828557374335925,0.14151761449061734,1,0.1
49,16,451,37,0,48,0,0.045,0.0,0.14229151170651014,0.1861227419596873,1.0,0.1232320407472581,0.01905947095925203,0.14229151170651014,1,0.1
50,15,450,39,0,48,0,0.045,0.0,0.13488455933867324,0.1877300506235079,1.0,0.11510224627282785,0.01978231306584539,0.13488455933867324,1,0.1
51,16,449,38,0,51,0,0.045,0.0,0.13143514788532748,0.18847857290888392,1.0,0.11095603094514657,0.02047911694018091,0.13143514788532748,1,0.1
52,16,448,36,0,55,0,0.045,0.0,0.1343701147835791,0.18784168509196333,1.0,0.11318022602396768,0.021189888759611426,0.1343701147835791,1,0.1
53,16,447,38,0,56,0,0.045,0.0,0.1390343177384737,0.18682955305075122,1.0,0.11710898455585153,0.021925333182622173,0.1390343177384737,1,0.1
54,17,446,33,0,64,0,0.045,0.0,0.13581633102602036,0.1875278561673536,1.0,0.11318022602396768,0.022636105002052688,0.13581633102602036,1,0.1
55,18,445,33,0,63,0,0.045,0.0,0.14753625943114074,0.18498463170344248,1.0,0.12412067658016461,0.02341558285097612,0.14753625943114074,1,0.1
56,16,444,32,0,64,0,0.045,0.0,0.14869214521228213,0.18473380448893478,1.0,0.1244947354228505,0.02419740978943162,0.14869214521228213,1,0.1
57,17,443,31,0,67,0,0.045,0.0,0.15110615856780255,0.18420996359078684,1.0,0.12611673567831114,0.024989422889491415,0.15110615856780255,1,0.1
58,17,442,32,0,69,0,0.045,0.0,0.1549064123204865,0.18338530852645443,1.0,0.12910620247942428,0.0258002098410622,0.1549064123204865,1,0.1
59,16,441,29,0,70,0,0.045,0.0,0.1531463354621513,0.18376724520471316,1.0,0.12655138293624946,0.026594952525901848,0.1531463354621513,1,0.1
60,15,440,25,0,73,0,0.045,0.0,0.16157710285227112,0.18193776868105715,1.0,0.13413975267954176,0.02743735017272937,0.16157710285227112,1,0.1
61,15,439,24,0,74,0,0.045,0.0,0.1748329082304209,0.17906125891399866,1.0,0.14647569071997013,0.028357217510450783,0.1748329082304209,1,0.1
62,16,438,21,0,78,0,0.045,0.0,0.1795175272796682,0.178044696580312,1.0,0.1502169473399227,0.029300579939745497,0.1795175272796682,1,0.1
63,15,437,22,0,78,0,0.045,0.0,0.1942312155812278,0.17485182621887357,1.0,0.16390133525607414,0.030329880325153644,0.1942312155812278,1,0.1
64,13,436,18,0,79,0,0.045,0.0,0.18981138711898976,0.17581092899517922,1.0,0.15848621337384836,0.03132517374514141,0.18981138711898976,0,0.1
65,12,435,16,0,80,0,0.045,0.0,0.20919425579477147,0.1716048464925346,1.0,0.17675903530789647,0.032435220486875,0.20919425579477147,0,0.1
66,12,434,17,0,79,0,0.045,0.0,0.22156090788243735,0.1689212829895111,1.0,0.18794539034420077,0.03361551753823658,0.22156090788243735,0,0.1
67,12,433,15,0,80,0,0.045,0.0,0.21608837394872438,0.1701088228531268,1.0,0.18133407839814744,0.03475429555057694,0.21608837394872438,0,0.1
68,10,432,13,0,81,0,0.045,0.0,0.23119288423388568,0.1668311441212468,1.0,0.19521265322108036,0.03598023101280533,0.23119288423388568,0,0.1
69,10,431,15,0,80,0,0.045,0.0,0.24405571818595184,0.16403990915364844,1.0,0.20677692806489895,0.037278790121052896,0.24405571818595184,0,0.1
70,10,430,14,0,79,0,0.045,0.0,0.22909455601548684,0.16728648134463933,1.0,0.1906186805803891,0.03847587543509774,0.22909455601548684,0,0.1
71,9,429,12,0,79,0,0.045,0.0,0.23799427022073827,0.1653552433620998,1.0,0.1982732388456896,0.03972103137504867,0.23799427022073827,0,0.1
72,9,428,10,0,78,0,0.045,0.0,0.25356722105525825,0.16197591303100897,1.0,0.21251161672716298,0.041055604328095255,0.25356722105525825,0,0.1
73,9,427,9,0,77,0,0.045,0.0,0.2772017640536574,0.15684721720035635,1.0,0.23467241694713414,0.04252934710652326,0.2772017640536574,0,0.1
74,8,426,9,0,74,0,0.045,0.0,0.29234785005793534,0.15356051653742805,1.0,0.24825943370772757,0.044088416350207785,0.29234785005793534,0,0.1
75,8,425,6,0,75,0,0.045,0.0,0.2876851911769776,0.15457231351459588,1.0,0.2420765341920438,0.04560865698493382,0.2876851911769776,0,0.1
76,7,424,8,0,76,0,0.045,0.0,0.3440488397294818,0.14234140177870244,1.0,0.2965776749458878,0.04747116478359399,0.3440488397294818,0,0.1
77,6,423,8,0,73,0,0.045,0.0,0.2977171121520151,0.15239538666301275,1.0,0.2486842105263158,0.04903290162569925,0.2977171121520151,0,0.1
78,6,422,8,0,73,0,0.045,0.0,0.28876431339040515,0.15433814399428206,1.0,0.23823529411764707,0.050529019272758074,0.28876431339040515,0,0.1
79,5,421,5,0,75,0,0.045,0.0,0.29026043103746396,0.15401348646487034,1.0,0.23823529411764707,0.052025136919816896,0.29026043103746396,0,0.1
80,5,420,6,0,74,0,0.045,0.0,0.3279132576017398,0.14584282310042246,1.0,0.27416635596645356,0.053746901635286226,0.3279132576017398,0,0.1
81,4,419,4,0,71,0,0.045,0.0,0.30997033440366734,0.1497364374344042,1.0,0.2546243915892009,0.055345942814466406,0.30997033440366734,0,0.1
82,4,418,5,0,70,0,0.045,0.0,0.3259676024194367,0.14626503027498225,1.0,0.2689327618604864,0.057034840558950264,0.3259676024194367,0,0.1
83,4,417,4,0,66,0,0.045,0.0,0.3074908798947653,0.15027447906283592,1.0,0.24889299135013618,0.05859788854462912,0.3074908798947653,0,0.1
84,4,416,1,0,64,0,0.045,0.0,0.3292195481495994,0.1455593580515369,1.0,0.2689327618604864,0.06028678628911298,0.3292195481495994,0,0.1
85,3,415,1,0,62,0,0.045,0.0,0.4484233577176845,0.11969213137526247,1.0,0.3857142857142858,0.06270907200339869,0.4484233577176845,0,0.1
86,3,414,0,0,62,0,0.045,0.0,0.37620399508032176,0.13536373306757019,1.0,0.31153846153846154,0.06466553354186022,0.37620399508032176,0,0.1
