Timestep,Lymphocytes,TriggeringCells,TumorCells,TumorCellsRad,DoomedCells,DoomedCellsRad,Lymphocytes DieProb,Tumor DieProbRad,Tumor DieProbImm,Tumor DivProb,SurvivingFractionTLast,PrimaryImmuneResponse,SecondaryImmuneResponse,ImmuneResponse,LymphocyteMigrationAttempted,ImmuneSuppression
0,0,500,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
1,0,499,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
2,0,498,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
3,0,497,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
4,0,496,3,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
5,0,495,4,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
6,0,494,4,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
7,0,493,4,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
8,0,492,5,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
9,0,491,7,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
10,0,490,8,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
11,0,489,8,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
12,0,488,9,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
13,0,487,10,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
14,0,486,11,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
15,0,485,13,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
16,0,484,16,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
17,0,483,19,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
18,1,482,22,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,1,0.1
19,2,481,22,0,2,0,0.045,0.0,0.07609913745582894,0.20048648717208511,1.0,0.0756242173707407,4.749200850882516E-4,0.07609913745582894,1,0.1
20,3,480,25,0,3,0,0.045,0.0,0.10618133492311098,0.1939586503216849,1.0,0.10504672142745829,0.0011346134956526897,0.10618133492311098,1,0.1
21,3,479,25,0,4,0,0.045,0.0,0.11545369473849457,0.19194654824174667,1.0,0.1136056378372241,0.001848056901270457,0.11545369473849457,1,0.1
22,4,478,22,0,6,0,0.045,0.0,0.11616713814411234,0.19179173102272765,1.0,0.1136056378372241,0.0025615003068882244,0.11616713814411234,1,0.1
23,5,477,26,0,7,0,0.045,0.0,0.1337973521203657,0.18796597458988065,1.0,0.13041683409535862,0.0033805180250070766,0.1337973521203657,1,0.1
24,6,476,22,0,12,0,0.045,0.0,0.12944118287250186,0.1889112633166671,1.0,0.12527394447618434,0.004167238396317515,0.12944118287250186,1,0.1
25,6,475,25,0,12,0,0.045,0.0,0.14689312628503956,0.1851241915961464,1.0,0.1418351630646759,0.005057963220363679,0.14689312628503956,1,0.1
26,7,474,27,0,14,0,0.045,0.0,0.1380263800224771,0.18704827553512246,1.0,0.13213858647902516,0.005887793543451957,0.1380263800224771,1,0.1
27,8,473,28,0,15,0,0.045,0.0,0.13615280724208212,0.18745484082846817,1.0,0.12945205479452057,0.006700752447561546,0.13615280724208212,1,0.1
28,9,472,26,0,17,0,0.045,0.0,0.13643951004266922,0.18739262632074077,1.0,0.12892908295415556,0.007510427088513643,0.13643951004266922,1,0.1
29,10,471,23,0,21,0,0.045,0.0,0.14490398615125888,0.18555583500517683,1.0,0.13653611227764165,0.008367873873617232,0.14490398615125888,1,0.1
30,10,470,27,0,21,0,0.045,0.0,0.15785520601577427,0.18274542029457697,1.0,0.14855441044456516,0.009300795571209101,0.15785520601577427,1,0.1
31,11,469,27,0,21,0,0.045,0.0,0.1451485955712091,0.18550275476104763,1.0,0.135,0.0101485955712091,0.1451485955712091,1,0.1
32,12,468,26,0,25,0,0.045,0.0,0.14724270566295225,0.18504833287113936,1.0,0.13623853211009176,0.011004173552860477,0.14724270566295225,1,0.1
33,12,467,27,0,27,0,0.045,0.0,0.1523692210936221,0.18393587902268402,1.0,0.14048281545967486,0.011886405633947234,0.1523692210936221,1,0.1
34,13,466,23,0,33,0,0.045,0.0,0.150036710718693,0.1844420337740436,1.0,0.13728813559322037,0.012748575125472658,0.150036710718693,1,0.1
35,14,465,22,0,40,0,0.045,0.0,0.16613088480385144,0.18094959799756424,1.0,0.15242508017488052,0.013705804628970909,0.16613088480385144,1,0.1
36,14,464,22,0,42,0,0.045,0.0,0.17230071155476304,0.17961074559261642,1.0,0.15760514660511202,0.014695564949651012,0.17230071155476304,1,0.1
37,15,463,24,0,44,0,0.045,0.0,0.17329047187544314,0.17939596760302884,1.0,0.15760514660511202,0.015685325270331115,0.17329047187544314,1,0.1
38,16,462,23,0,48,0,0.045,0.0,0.16684563503954852,0.18079449719641796,1.0,0.1502169473399227,0.01662868769962583,0.16684563503954852,1,0.1
39,16,461,21,0,51,0,0.045,0.0,0.17255013619074416,0.1795566204466085,1.0,0.1549483727104964,0.017601763480247747,0.17255013619074416,1,0.1
40,16,460,16,0,55,0,0.045,0.0,0.18253239912173003,0.1773904693905846,1.0,0.16390133525607414,0.018631063865655894,0.18253239912173003,0,0.1
41,16,459,19,0,56,0,0.045,0.0,0.2134059872178049,0.17069090077373633,1.0,0.19355937050537525,0.01984661671242965,0.2134059872178049,0,0.1
42,14,458,17,0,59,0,0.045,0.0,0.19523894312528323,0.17463314934181354,1.0,0.17429773662683704,0.020941206498446188,0.19523894312528323,0,0.1
43,14,457,19,0,61,0,0.045,0.0,0.20637934097015972,0.17221568300947535,1.0,0.18428085072913458,0.022098490241025153,0.20637934097015972,0,0.1
44,14,456,19,0,61,0,0.045,0.0,0.19549200075255982,0.17457823583669452,1.0,0.17231139495124087,0.023180605801318945,0.19549200075255982,0,0.1
45,15,455,22,0,60,0,0.045,0.0,0.1965741163128536,0.17434341676011078,1.0,0.17231139495124087,0.024262721361612737,0.1965741163128536,1,0.1
46,15,454,23,0,62,0,0.045,0.0,0.18374422815544886,0.1771275024902676,1.0,0.15848621337384836,0.025258014781600505,0.18374422815544886,1,0.1
47,14,453,23,0,62,0,0.045,0.0,0.18043734031071118,0.17784509715257568,1.0,0.1542108811952048,0.02622645911550639,0.18043734031071118,1,0.1
48,15,452,22,0,64,0,0.045,0.0,0.18056624761505807,0.1778171242675324,1.0,0.15337658355482736,0.027189664060230705,0.18056624761505807,1,0.1
49,15,451,22,0,63,0,0.045,0.0,0.18667117085406681,0.1764923559246675,1.0,0.15848621337384836,0.028184957480218473,0.18667117085406681,1,0.1
50,15,450,21,0,64,0,0.045,0.0,0.1876664642740546,0.17627637725253015,1.0,0.15848621337384836,0.02918025090020624,0.1876664642740546,1,0.1
51,16,449,23,0,64,0,0.045,0.0,0.19328075408526185,0.17505807636349816,1.0,0.16307638349669637,0.030204370588565493,0.19328075408526185,1,0.1
52,16,448,20,0,68,0,0.045,0.0,0.1861258190796838,0.1766106972597086,1.0,0.1549483727104964,0.03117744636918741,0.1861258190796838,1,0.1
53,16,447,17,0,67,0,0.045,0.0,0.2011345704982168,0.17335379820188695,1.0,0.1688964543954261,0.03223811610279069,0.2011345704982168,0,0.1
54,16,446,20,0,60,0,0.045,0.0,0.21996423529332104,0.16926776094134932,1.0,0.18655455657523787,0.03340967871808318,0.21996423529332104,1,0.1
55,16,445,20,0,58,0,0.045,0.0,0.20336680284711256,0.17286940378217658,1.0,0.1688964543954261,0.03447034845168646,0.20336680284711256,1,0.1
56,17,444,20,0,60,0,0.045,0.0,0.20442747258071584,0.17263923844998466,1.0,0.1688964543954261,0.03553101818528973,0.20442747258071584,1,0.1
57,18,443,25,0,60,0,0.045,0.0,0.20627348537868984,0.17223865367282432,1.0,0.16967689628473198,0.03659658909395785,0.20627348537868984,1,0.1
58,17,442,24,0,62,0,0.045,0.0,0.18579077442304706,0.1766834019501988,1.0,0.14826309310439362,0.03752768131865344,0.18579077442304706,1,0.1
59,18,441,28,0,62,0,0.045,0.0,0.19001881183573952,0.17576591783164452,1.0,0.15153946269138419,0.03847934914435533,0.19001881183573952,1,0.1
60,19,440,30,0,59,0,0.045,0.0,0.1774337791868918,0.17849686991644448,1.0,0.1380872421617606,0.03934653702513118,0.1774337791868918,1,0.1
61,20,439,33,0,59,0,0.045,0.0,0.1727764582850999,0.17950750855213332,1.0,0.1325972107762936,0.040179247508806304,0.1727764582850999,1,0.1
62,20,438,34,0,63,0,0.045,0.0,0.1661009369239285,0.18095609668750753,1.0,0.12513583636276404,0.04096510056116446,0.1661009369239285,1,0.1
63,20,437,35,0,66,0,0.045,0.0,0.16451831061661046,0.18129952659619553,1.0,0.12278213822737806,0.04173617238923239,0.16451831061661046,1,0.1
64,20,436,36,0,64,0,0.045,0.0,0.1630302067934913,0.18162244512581238,1.0,0.12053706165705264,0.04249314513643868,0.1630302067934913,1,0.1
65,20,435,36,0,70,0,0.045,0.0,0.1616294193090156,0.18192641600994364,1.0,0.11839276759209853,0.04323665171691706,0.1616294193090156,1,0.1
66,20,434,46,0,66,0,0.045,0.0,0.16237292588949398,0.1817650750819798,1.0,0.11839276759209853,0.04398015829739544,0.16237292588949398,2,0.1
67,22,433,51,0,66,0,0.045,0.0,0.1458285888327015,0.18535519622330376,1.0,0.10121281406299049,0.04461577476971102,0.1458285888327015,2,0.1
68,22,432,57,0,66,0,0.045,0.0,0.14023612425997567,0.18656876103558528,1.0,0.09502360127426229,0.04521252298571339,0.14023612425997567,2,0.1
69,24,431,59,0,72,0,0.045,0.0,0.13420256126793617,0.18787804420485785,1.0,0.08843466856364308,0.04576789270429307,0.13420256126793617,2,0.1
70,21,430,53,0,82,0,0.045,0.0,0.13300590605733767,0.18813771838555773,1.0,0.08669357768518166,0.046312328372156014,0.13300590605733767,2,0.1
71,21,429,56,0,86,0,0.045,0.0,0.13944888499991598,0.1867395919550182,1.0,0.09255530928544735,0.04689357571446862,0.13944888499991598,2,0.1
72,24,428,61,0,90,0,0.045,0.0,0.1367791608943863,0.1873189220859182,1.0,0.08932462652533854,0.04745453436904775,0.1367791608943863,3,0.1
73,24,427,55,0,98,0,0.045,0.0,0.1328253379278368,0.18817690166965942,1.0,0.0848380207882389,0.04798731713959789,0.1328253379278368,2,0.1
74,25,426,67,0,94,0,0.045,0.0,0.13928831746769488,0.18677443510951022,1.0,0.09073120833972352,0.04855710912797136,0.13928831746769488,3,0.1
75,26,425,66,0,98,0,0.045,0.0,0.1289586297700976,0.18901597733988884,1.0,0.0798997502108024,0.04905887955929519,0.1289586297700976,3,0.1
76,28,424,66,0,105,0,0.045,0.0,0.13032585715655287,0.18871928899702803,1.0,0.08075980601548045,0.04956605114107241,0.13032585715655287,3,0.1
77,30,423,59,0,110,0,0.045,0.0,0.1309668079269247,0.18858020267985734,1.0,0.0808927503138811,0.050074057613043586,0.1309668079269247,2,0.1
78,32,422,55,0,114,0,0.045,0.0,0.13778143307523602,0.18710142902267377,1.0,0.08716001059565175,0.05062142247958428,0.13778143307523602,2,0.1
79,31,421,52,0,117,0,0.045,0.0,0.14256611517408532,0.18606315300722348,1.0,0.09137088354583321,0.05119523162825211,0.14256611517408532,2,0.1
80,33,420,48,0,127,0,0.045,0.0,0.14649879666071675,0.18520976112462448,1.0,0.09470879380735443,0.0517900028533623,0.14649879666071675,2,0.1
81,32,419,51,0,127,0,0.045,0.0,0.152338016546431,0.18394265040942448,1.0,0.0999205128722311,0.05241750367419991,0.152338016546431,2,0.1
82,33,418,52,0,130,0,0.045,0.0,0.14900354694225948,0.1846662303135297,1.0,0.09598326834286636,0.05302027859939311,0.14900354694225948,2,0.1
83,34,417,56,0,129,0,0.045,0.0,0.14845473653796568,0.18478532217126145,1.0,0.09483886983600248,0.0536158667019632,0.14845473653796568,2,0.1
84,36,416,45,0,135,0,0.045,0.0,0.14459751708821283,0.18562233879185783,1.0,0.09041385139946102,0.05418366568875182,0.14459751708821283,2,0.1
85,36,415,39,0,139,0,0.045,0.0,0.1592536530615918,0.1824419572856346,1.0,0.10441426578371824,0.05483938727787357,0.1592536530615918,1,0.1
86,35,414,36,0,139,0,0.045,0.0,0.1701787736897581,0.1800712061093225,1.0,0.1146195754778834,0.055559198211874675,0.1701787736897581,1,0.1
87,34,413,39,0,146,0,0.045,0.0,0.17697722091515017,0.17859594306141244,1.0,0.12066027616893459,0.05631694474621558,0.17697722091515017,1,0.1
88,35,412,40,0,148,0,0.045,0.0,0.17149654131952655,0.17978525053366273,1.0,0.11446078285696919,0.05703575846255735,0.17149654131952655,2,0.1
89,36,411,44,0,145,0,0.045,0.0,0.1704143554705783,0.1800200848628845,1.0,0.11267102298368341,0.05774333248689489,0.1704143554705783,2,0.1
90,38,410,43,0,150,0,0.045,0.0,0.16436474189314498,0.18133285100918753,1.0,0.10595600569051367,0.05840873620263131,0.16436474189314498,2,0.1
91,39,409,47,0,150,0,0.045,0.0,0.16676661946461957,0.18081164357617754,1.0,0.10768164254679438,0.05908497691782518,0.16676661946461957,2,0.1
92,40,408,44,0,153,0,0.045,0.0,0.1613797302485822,0.18198059853605766,1.0,0.10165635144369066,0.05972337880489156,0.1613797302485822,2,0.1
93,41,407,39,0,156,0,0.045,0.0,0.16657774833843286,0.18085262861056006,1.0,0.10618751195844228,0.060390236379990574,0.16657774833843286,1,0.1
94,40,406,37,0,153,0,0.045,0.0,0.1760623108393804,0.17879447854785446,1.0,0.114950187283251,0.06111212355612939,0.1760623108393804,1,0.1
95,37,405,40,0,152,0,0.045,0.0,0.18076278410132263,0.177774475850013,1.0,0.11890394377826574,0.0618588403230569,0.18076278410132263,2,0.1
96,36,404,35,0,159,0,0.045,0.0,0.17538376616882062,0.1789417227413659,1.0,0.11281643861128483,0.06256732755753577,0.17538376616882062,1,0.1
97,34,403,32,0,157,0,0.045,0.0,0.18631673478970714,0.17656926855063357,1.0,0.12297711097524681,0.06333962381446033,0.18631673478970714,1,0.1
98,34,402,33,0,157,0,0.045,0.0,0.19429637200378322,0.17483768727517904,1.0,0.13013947230325842,0.0641568997005248,0.19429637200378322,1,0.1
99,33,401,32,0,157,0,0.045,0.0,0.19252841789696917,0.1752213333163577,1.0,0.12757037623369677,0.0649580416632724,0.19252841789696917,1,0.1
100,34,400,31,0,155,0,0.045,0.0,0.1958023714724854,0.1745108853904707,1.0,0.13002775550464382,0.06577461596784157,0.1958023714724854,1,0.1
101,32,399,36,0,148,0,0.045,0.0,0.19945163419672415,0.17371899537931085,1.0,0.13284276566053443,0.06660886853618972,0.19945163419672415,1,0.1
102,33,398,40,0,141,0,0.045,0.0,0.18773690429014234,0.17626109176903912,1.0,0.12037209897240592,0.06736480531773643,0.18773690429014234,2,0.1
103,31,397,38,0,143,0,0.045,0.0,0.18057978459246304,0.17781418674343552,1.0,0.11250842635720337,0.06807135823525967,0.18057978459246304,1,0.1
104,30,396,36,0,149,0,0.045,0.0,0.18492506415383775,0.1768712610786172,1.0,0.11612444440769773,0.06880061974614002,0.18492506415383775,1,0.1
105,31,395,39,0,148,0,0.045,0.0,0.18970406596930747,0.1758342176846603,1.0,0.12014891106169998,0.0695551549076075,0.18970406596930747,1,0.1
106,31,394,40,0,147,0,0.045,0.0,0.18445746267427615,0.17697273059968208,1.0,0.11418522455645412,0.07027223811782203,0.18445746267427615,2,0.1
107,31,393,37,0,148,0,0.045,0.0,0.183303054338888,0.17722323720846128,1.0,0.11232541262975111,0.07097764170913687,0.183303054338888,1,0.1
108,30,392,34,0,156,0,0.045,0.0,0.18986827188838412,0.17579858500022064,1.0,0.11814865661570065,0.07171961527268347,0.18986827188838412,1,0.1
109,31,391,29,0,153,0,0.045,0.0,0.19717450678880016,0.17421313202683036,1.0,0.12467195165969383,0.07250255512910635,0.19717450678880016,1,0.1
110,32,390,30,0,150,0,0.045,0.0,0.21166647374052294,0.17106837519830653,1.0,0.13829542335276127,0.07337105038776169,0.21166647374052294,1,0.1
111,31,389,27,0,151,0,0.045,0.0,0.20966324682158635,0.17150307543971577,1.0,0.1354416230411264,0.07422162378045996,0.20966324682158635,1,0.1
112,30,388,23,0,142,0,0.045,0.0,0.2199407172060655,0.1692728643662838,1.0,0.1448096885813149,0.07513102862475061,0.2199407172060655,1,0.1
113,31,387,20,0,146,0,0.045,0.0,0.23645297117017025,0.16568970525607304,1.0,0.16031516331977147,0.07613780785039878,0.23645297117017025,1,0.1
114,30,386,15,0,149,0,0.045,0.0,0.2527781598364171,0.16214713931549748,1.0,0.1755379735123607,0.07724018632405641,0.2527781598364171,0,0.1
115,29,385,15,0,150,0,0.045,0.0,0.28898837729403704,0.15428952212719396,1.0,0.21042671122349707,0.07856166607053996,0.28898837729403704,0,0.1
116,28,384,12,0,151,0,0.045,0.0,0.28993116152938914,0.15408493794812256,1.0,0.21005037907823787,0.0798807824511513,0.28993116152938914,0,0.1
117,27,383,13,0,149,0,0.045,0.0,0.3225256896128198,0.1470119253540181,1.0,0.24113060695002234,0.08139508266279744,0.3225256896128198,0,0.1
118,26,382,9,0,150,0,0.045,0.0,0.3116789555997108,0.14936566663486275,1.0,0.22884671556317665,0.08283224003653418,0.3116789555997108,0,0.1
119,25,381,9,0,146,0,0.045,0.0,0.3711729355235777,0.1364554729913836,1.0,0.2865412166465035,0.08463171887707423,0.3711729355235777,0,0.1
120,25,380,8,0,144,0,0.045,0.0,0.37203392345395997,0.13626863861049068,1.0,0.28560858267767,0.08642534077629,0.37203392345395997,0,0.1
121,25,379,4,0,143,0,0.045,0.0,0.39517034077629,0.13124803605154506,1.0,0.3068181818181818,0.08835215895810818,0.39517034077629,0,0.1
122,25,378,2,0,142,0,0.045,0.0,0.5536095097230082,0.09686673639010723,1.0,0.46235376909498344,0.09125574062802468,0.5536095097230082,0,0.1
123,24,377,0,0,140,0,0.045,0.0,0.7748007144291843,0.048868244968867006,1.0,0.6792791010465871,0.09552161338259724,0.7748007144291843,0,0.1
