Timestep,Lymphocytes,TriggeringCells,TumorCells,TumorCellsRad,DoomedCells,DoomedCellsRad,Lymphocytes DieProb,Tumor DieProbRad,Tumor DieProbImm,Tumor DivProb,SurvivingFractionTLast,PrimaryImmuneResponse,SecondaryImmuneResponse,ImmuneResponse,LymphocyteMigrationAttempted,ImmuneSuppression
0,0,500,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
1,0,499,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
2,0,498,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
3,0,497,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
4,0,496,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
5,0,495,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
6,0,494,3,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
7,0,493,5,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
8,0,492,6,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
9,0,491,8,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
10,0,490,10,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
11,0,489,12,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
12,0,488,15,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
13,0,487,18,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.1
14,1,486,20,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,1,0.1
15,2,485,20,0,3,0,0.045,0.0,0.07821701246780886,0.20002690829448547,1.0,0.07772887513198003,4.8813733582883455E-4,0.07821701246780886,1,0.1
16,1,484,17,0,9,0,0.045,0.0,0.11032570853017619,0.19305932124895175,1.0,0.10915209603127098,0.0011736124989052163,0.11032570853017619,0,0.1
17,1,483,16,0,11,0,0.045,0.0,0.0829530362754565,0.19899919112822595,1.0,0.08126905411669842,0.0016839821587580823,0.0829530362754565,0,0.1
18,1,482,16,0,12,0,0.045,0.0,0.08477333299122988,0.1986041867409031,1.0,0.08257080616972592,0.002202526821503961,0.08477333299122988,0,0.1
19,1,481,18,0,13,0,0.045,0.0,0.08529187765397576,0.19849166254908726,1.0,0.08257080616972592,0.0027210714842498397,0.08529187765397576,0,0.1
20,2,480,20,0,14,0,0.045,0.0,0.0832555160547001,0.19893355301613008,1.0,0.08003184458644737,0.003223671468252729,0.0832555160547001,1,0.1
21,3,479,20,0,16,0,0.045,0.0,0.11306124266260009,0.19246571034221577,1.0,0.10915209603127098,0.003909146631329111,0.11306124266260009,1,0.1
22,4,478,21,0,16,0,0.045,0.0,0.13085314141766582,0.18860486831236653,1.0,0.12615176172271805,0.00470137969494778,0.13085314141766582,1,0.1
23,4,477,18,0,17,0,0.045,0.0,0.13904901887739599,0.18682636290360508,1.0,0.13350920139767083,0.005539817479725153,0.13904901887739599,0,0.1
24,4,476,19,0,20,0,0.045,0.0,0.15054799496096938,0.18433108509346965,1.0,0.14410320932667273,0.0064447856342966575,0.15054799496096938,0,0.1
25,5,475,21,0,20,0,0.045,0.0,0.14765332261838207,0.1849592289918111,1.0,0.14032728165529018,0.0073260409630918795,0.14765332261838207,1,0.1
26,5,474,22,0,22,0,0.045,0.0,0.14866246266004554,0.1847402456027701,1.0,0.14045436826425414,0.008208094395791395,0.14866246266004554,1,0.1
27,4,473,18,0,25,0,0.045,0.0,0.14610470136225331,0.18529527980439103,1.0,0.1370360207561135,0.009068680606139789,0.14610470136225331,0,0.1
28,5,472,20,0,27,0,0.045,0.0,0.15407685808738403,0.18356532179503768,1.0,0.14410320932667273,0.009973648760711292,0.15407685808738403,1,0.1
29,5,471,18,0,30,0,0.045,0.0,0.15498526966829052,0.18336819648198097,1.0,0.14410663126324605,0.010878638405044478,0.15498526966829052,0,0.1
30,5,470,21,0,30,0,0.045,0.0,0.16406247612026637,0.1813984426819022,1.0,0.15222784683708498,0.011834629283181372,0.16406247612026637,1,0.1
31,6,469,23,0,33,0,0.045,0.0,0.15317105098013503,0.1837618819373107,1.0,0.14045436826425414,0.012716682715880888,0.15317105098013503,1,0.1
32,7,468,26,0,33,0,0.045,0.0,0.15198710821489253,0.18401879751736833,1.0,0.13840126555134916,0.01358584266354336,0.15198710821489253,1,0.1
33,8,467,26,0,34,0,0.045,0.0,0.1467053010065566,0.1851649496815772,1.0,0.13228868539870933,0.014416615607847254,0.1467053010065566,1,0.1
34,9,466,27,0,36,0,0.045,0.0,0.14990695205843685,0.1844701914033192,1.0,0.13464476731187106,0.015262184746565804,0.14990695205843685,1,0.1
35,10,465,26,0,38,0,0.045,0.0,0.14961715177953286,0.18453307806384137,1.0,0.13351648351648354,0.01610066826304932,0.14961715177953286,1,0.1
36,11,464,26,0,39,0,0.045,0.0,0.15505574052313206,0.18335290430648032,1.0,0.13808788037135067,0.0169678601517814,0.15505574052313206,1,0.1
37,11,463,25,0,42,0,0.045,0.0,0.15722718241276254,0.1828817014164305,1.0,0.1393839907987649,0.017843191613997646,0.15722718241276254,1,0.1
38,12,462,26,0,43,0,0.045,0.0,0.1614611444914402,0.18196293164535748,1.0,0.14272166084732138,0.018739483644118825,0.1614611444914402,1,0.1
39,12,461,25,0,46,0,0.045,0.0,0.16010453118488044,0.18225731673288095,1.0,0.14048281545967486,0.019621715725205584,0.16010453118488044,1,0.1
40,13,460,26,0,49,0,0.045,0.0,0.16439920189555116,0.1813253731886654,1.0,0.1438739577158898,0.020525244179661374,0.16439920189555116,1,0.1
41,11,459,29,0,53,0,0.045,0.0,0.16283961381571463,0.18166380380198993,1.0,0.14142621301829833,0.02141340079741629,0.16283961381571463,1,0.1
42,12,458,26,0,57,0,0.045,0.0,0.15268987073447568,0.18386629805061877,1.0,0.13045719872904102,0.022232672005434665,0.15268987073447568,1,0.1
43,13,457,25,0,58,0,0.045,0.0,0.16359771954619629,0.1814992948584754,1.0,0.14048281545967486,0.023114904086521424,0.16359771954619629,1,0.1
44,14,456,30,0,60,0,0.045,0.0,0.16888825870216972,0.18035124786162918,1.0,0.14486361113770352,0.024024647564466203,0.16888825870216972,1,0.1
45,15,455,34,0,61,0,0.045,0.0,0.15503578418279984,0.18335723483233243,1.0,0.13019352130454112,0.02484226287825872,0.15503578418279984,1,0.1
46,16,454,38,0,62,0,0.045,0.0,0.14655058308250235,0.185198523471097,1.0,0.1209487619790154,0.025601821103486938,0.14655058308250235,1,0.1
47,17,453,40,0,64,0,0.045,0.0,0.13949281894688514,0.18673005828852593,1.0,0.11318022602396768,0.026312592922917453,0.13949281894688514,2,0.1
48,18,452,47,0,64,0,0.045,0.0,0.1368990576925641,0.18729290448071356,1.0,0.10989631590575849,0.027002741786805617,0.1368990576925641,2,0.1
49,19,451,49,0,68,0,0.045,0.0,0.12704397231211842,0.1894314580082703,1.0,0.09941689244078467,0.027627079871333744,0.12704397231211842,2,0.1
50,21,450,55,0,69,0,0.045,0.0,0.12524109131073924,0.18982268318556958,1.0,0.09700482116250497,0.028236270148234276,0.12524109131073924,2,0.1
51,22,449,55,0,73,0,0.045,0.0,0.11917347670938538,0.19113935555406336,1.0,0.0903696849397296,0.02880379176965578,0.11917347670938538,2,0.1
52,24,448,54,0,79,0,0.045,0.0,0.11987295105218077,0.19098756962167676,1.0,0.09050081416954027,0.029372136882640492,0.11987295105218077,2,0.1
53,24,447,57,0,84,0,0.045,0.0,0.12176501501294307,0.19057699174219137,1.0,0.09181627194250365,0.029948743070439415,0.12176501501294307,2,0.1
54,27,446,62,0,86,0,0.045,0.0,0.11916014444786169,0.191142248654814,1.0,0.0886546501743275,0.030505494273534193,0.11916014444786169,3,0.1
55,30,445,72,0,81,0,0.045,0.0,0.1152235851335266,0.19199648202602473,1.0,0.08418938154389673,0.031034203589629866,0.1152235851335266,3,0.1
56,32,444,79,0,89,0,0.045,0.0,0.10804399537851014,0.19355445300286328,1.0,0.07652918848519327,0.03151480689331688,0.10804399537851014,3,0.1
57,35,443,78,0,96,0,0.045,0.0,0.1040683035415056,0.19441717813149328,1.0,0.07210070422565164,0.03196759931585397,0.1040683035415056,3,0.1
58,38,442,86,0,100,0,0.045,0.0,0.10523517271697283,0.1941639675204169,1.0,0.07281032456286408,0.03242484815410875,0.10523517271697283,4,0.1
59,40,441,90,0,103,0,0.045,0.0,0.1012203956412503,0.19503517414584867,1.0,0.06836620770276816,0.03285418793848214,0.1012203956412503,4,0.1
60,44,440,89,0,109,0,0.045,0.0,0.09966571443077835,0.1953725399685211,1.0,0.06639456860147892,0.03327114582929943,0.09966571443077835,4,0.1
61,45,439,91,0,117,0,0.045,0.0,0.10065188465416305,0.19515854103004662,1.0,0.06696022858932267,0.033691656064840377,0.10065188465416305,4,0.1
62,48,438,98,0,125,0,0.045,0.0,0.1001088830397757,0.19527637238036866,1.0,0.06600272983159293,0.03410615320818278,0.1001088830397757,4,0.1
63,51,437,104,0,128,0,0.045,0.0,0.09739580710685629,0.1958651098578122,1.0,0.06289467533755368,0.03450113176930261,0.09739580710685629,5,0.1
64,54,436,106,0,132,0,0.045,0.0,0.09538890825127061,0.19630060690947426,1.0,0.06050778757599077,0.034881120675279834,0.09538890825127061,5,0.1
65,57,435,114,0,135,0,0.045,0.0,0.0950362549027356,0.19637713268610638,1.0,0.05977971760092197,0.03525653730181362,0.0950362549027356,5,0.1
66,62,434,117,0,141,0,0.045,0.0,0.09260925928806335,0.19690379073449024,1.0,0.05699479467568641,0.03561446461237693,0.09260925928806335,5,0.1
67,65,433,128,0,138,0,0.045,0.0,0.092022848042735,0.1970310419747265,1.0,0.05605634955515171,0.035966498487583286,0.092022848042735,6,0.1
68,66,432,134,0,140,0,0.045,0.0,0.08913118299241699,0.1976585332906455,1.0,0.05283289393094736,0.03629828906146963,0.08913118299241699,6,0.1
69,69,431,135,0,149,0,0.045,0.0,0.08787778731127653,0.197930520153453,1.0,0.051257600518550404,0.03662018679272613,0.08787778731127653,6,0.1
70,72,430,138,0,157,0,0.045,0.0,0.08795889373063277,0.1979129200604527,1.0,0.051018311938930166,0.036940581791702606,0.08795889373063277,6,0.1
71,75,429,141,0,162,0,0.045,0.0,0.08754794011915085,0.19800209699414428,1.0,0.05029152753453137,0.03725641258461947,0.08754794011915085,7,0.1
72,74,428,137,0,169,0,0.045,0.0,0.08715722201556803,0.1980868828226217,1.0,0.0495893880738448,0.037567833941723215,0.08715722201556803,6,0.1
73,79,427,136,0,174,0,0.045,0.0,0.08842702583689824,0.1978113353933931,1.0,0.05054178945738266,0.03788523637951558,0.08842702583689824,6,0.1
74,81,426,144,0,175,0,0.045,0.0,0.08900861729211712,0.19768513004761057,1.0,0.050804329721947705,0.038204287570169415,0.08900861729211712,7,0.1
75,84,425,147,0,178,0,0.045,0.0,0.08743057154556674,0.19802756597461202,1.0,0.048919072201968956,0.03851149934359778,0.08743057154556674,7,0.1
76,87,424,149,0,185,0,0.045,0.0,0.08707635846463521,0.19810443021317414,1.0,0.04826177517295129,0.03881458329168391,0.08707635846463521,7,0.1
77,88,423,155,0,189,0,0.045,0.0,0.0869527180333107,0.19813126018677157,1.0,0.04783771389834519,0.03911500413496552,0.0869527180333107,7,0.1
78,92,422,163,0,191,0,0.045,0.0,0.08600978428106204,0.19833587681100953,1.0,0.04660211883978268,0.039407665441279355,0.08600978428106204,8,0.1
79,94,421,173,0,191,0,0.045,0.0,0.08476857497093523,0.19860521923130706,1.0,0.04507782081493806,0.03969075415599717,0.08476857497093523,8,0.1
80,96,420,182,0,191,0,0.045,0.0,0.0832957590596576,0.1989248202840543,1.0,0.04333287445210123,0.03996288460755636,0.0832957590596576,9,0.1
81,103,419,185,0,190,0,0.045,0.0,0.08212593217208439,0.1991786727186577,1.0,0.04189991609147356,0.04022601608061082,0.08212593217208439,9,0.1
82,107,418,210,0,193,0,0.045,0.0,0.08194253461943678,0.19921846998758222,1.0,0.04145617376756564,0.040486360851871135,0.08194253461943678,10,0.1
83,110,417,220,0,206,0,0.045,0.0,0.07883580766595435,0.19989262973648791,1.0,0.038110115290061634,0.04072569237589272,0.07883580766595435,11,0.1
84,116,416,239,0,207,0,0.045,0.0,0.07790963778756226,0.200093608600099,1.0,0.03695188755780651,0.04095775022975574,0.07790963778756226,11,0.1
85,120,415,243,0,216,0,0.045,0.0,0.07615291135849422,0.20047481823520674,1.0,0.034975514895196645,0.04117739646329758,0.07615291135849422,12,0.1
86,122,414,255,0,217,0,0.045,0.0,0.07598867933870299,0.20051045658350145,1.0,0.03459403235223338,0.04139464698646961,0.07598867933870299,12,0.1
87,131,413,271,0,223,0,0.045,0.0,0.07510848094006749,0.20070145963600536,1.0,0.03350343239813758,0.04160504854192991,0.07510848094006749,13,0.1
88,139,412,273,0,232,0,0.045,0.0,0.07398544430232597,0.20094515858639525,1.0,0.032178315936315996,0.04180712836600997,0.07398544430232597,13,0.1
89,146,411,289,0,243,0,0.045,0.0,0.07403282931700877,0.20093487603820911,1.0,0.032024586547480624,0.04200824276952815,0.07403282931700877,14,0.1
90,156,410,292,0,260,0,0.045,0.0,0.07303769242234505,0.20115082074435112,1.0,0.030835800823644417,0.042201891598700636,0.07303769242234505,14,0.1
91,164,409,300,0,276,0,0.045,0.0,0.07302184563217023,0.20115425949781904,1.0,0.03062761262617721,0.04239423300599303,0.07302184563217023,15,0.1
92,173,408,314,0,286,0,0.045,0.0,0.07266670769017632,0.20123132443123173,1.0,0.030083549990244558,0.04258315769993176,0.07266670769017632,15,0.1
93,182,407,329,0,284,0,0.045,0.0,0.07195220004026812,0.20138637259126183,1.0,0.02918575579395035,0.04276644424631777,0.07195220004026812,16,0.1
94,194,406,341,0,289,0,0.045,0.0,0.07123868150055566,0.20154120611437942,1.0,0.02829454749596325,0.04294413400459242,0.07123868150055566,17,0.1
95,205,405,344,0,305,0,0.045,0.0,0.07074710995951268,0.20164787713878574,1.0,0.027629462927734088,0.04311764703177859,0.07074710995951268,17,0.1
96,214,404,358,0,307,0,0.045,0.0,0.07076046739407549,0.2016449785754856,1.0,0.02747030683537077,0.043290160558704716,0.07076046739407549,17,0.1
97,219,403,364,0,316,0,0.045,0.0,0.07020932632131834,0.2017645761882739,1.0,0.02675116842490521,0.04345815789641312,0.07020932632131834,18,0.1
98,231,402,360,0,326,0,0.045,0.0,0.07008151825159384,0.20179231053940413,1.0,0.026457209082144856,0.04362430916944899,0.07008151825159384,18,0.1
99,235,401,369,0,345,0,0.045,0.0,0.07044559479629314,0.20171330592920436,1.0,0.026653899140243426,0.04379169565604972,0.07044559479629314,18,0.1
100,242,400,376,0,354,0,0.045,0.0,0.07017581623800587,0.20177184787635274,1.0,0.026219462358345737,0.04395635387966013,0.07017581623800587,18,0.1
101,255,399,380,0,360,0,0.045,0.0,0.07001287066936963,0.20180720706474678,1.0,0.025893903078377297,0.04411896759099234,0.07001287066936963,19,0.1
102,262,398,377,0,384,0,0.045,0.0,0.06999349164550284,0.20181141231292588,1.0,0.02571304612484647,0.044280445520656374,0.06999349164550284,18,0.1
103,268,397,374,0,392,0,0.045,0.0,0.07029247245948358,0.20174653347629207,1.0,0.02584969088010019,0.0444427815793834,0.07029247245948358,18,0.1
104,278,396,373,0,398,0,0.045,0.0,0.07059405306541877,0.20168109048480412,1.0,0.02598806642886212,0.044605986636556655,0.07059405306541877,18,0.1
105,283,395,382,0,414,0,0.045,0.0,0.07080462220707658,0.20163539698106436,1.0,0.026035134923202207,0.044769487283874365,0.07080462220707658,19,0.1
106,290,394,388,0,413,0,0.045,0.0,0.0705555861232389,0.20168943781125717,1.0,0.025625172754466484,0.04493041336877242,0.0705555861232389,19,0.1
107,293,393,391,0,430,0,0.045,0.0,0.07045057206473927,0.2017122258619516,1.0,0.025360892292370766,0.0450896797723685,0.07045057206473927,19,0.1
108,305,392,394,0,431,0,0.045,0.0,0.07047938484696153,0.20170597348820934,1.0,0.02523125280696529,0.045248132039996246,0.07047938484696153,19,0.1
109,309,391,408,0,438,0,0.045,0.0,0.07050950390890476,0.20169943765176768,1.0,0.025103720504142498,0.045405783404762264,0.07050950390890476,20,0.1
110,314,390,420,0,435,0,0.045,0.0,0.07008646101021344,0.2017912379607837,1.0,0.024526650241931847,0.0455598107682816,0.07008646101021344,21,0.1
111,317,389,435,0,433,0,0.045,0.0,0.06976860744952987,0.20186021218345201,1.0,0.024057714235847148,0.04571089321368272,0.06976860744952987,21,0.1
112,328,388,440,0,447,0,0.045,0.0,0.06936035182471562,0.2019488036540367,1.0,0.023501866886982643,0.04585848493773297,0.06936035182471562,22,0.1
113,333,387,445,0,456,0,0.045,0.0,0.0693289667519664,0.20195561421482328,1.0,0.023324007049959673,0.04600495970200672,0.0693289667519664,22,0.1
114,338,386,447,0,463,0,0.045,0.0,0.06929957671753999,0.20196199185229383,1.0,0.023149239789654236,0.04615033692788575,0.06929957671753999,22,0.1
115,342,385,457,0,473,0,0.045,0.0,0.06937562979956366,0.20194548833349468,1.0,0.02308034828445156,0.046295281515112106,0.06937562979956366,22,0.1
116,347,384,470,0,483,0,0.045,0.0,0.0691808214222748,0.20198776175136637,1.0,0.022742715652862726,0.04643810576941208,0.0691808214222748,23,0.1
117,345,383,470,0,497,0,0.045,0.0,0.06890003455539893,0.20204869250147842,1.0,0.022321748207245345,0.046578286348153586,0.06890003455539893,23,0.1
118,354,382,469,0,517,0,0.045,0.0,0.06904015308700892,0.20201828678011904,1.0,0.022321686547338043,0.04671846653967087,0.06904015308700892,23,0.1
119,358,381,477,0,523,0,0.045,0.0,0.06921250983320734,0.201980885366194,1.0,0.02235366229432809,0.04685884753887925,0.06921250983320734,23,0.1
120,369,380,483,0,531,0,0.045,0.0,0.06910090838397794,0.20200510288067677,1.0,0.022103252419901697,0.046997655964076235,0.06910090838397794,24,0.1
121,374,379,477,0,545,0,0.045,0.0,0.06905551600869797,0.20201495302611253,1.0,0.021920201181203768,0.047135314827494196,0.06905551600869797,23,0.1
122,371,378,505,0,543,0,0.045,0.0,0.06937781085496023,0.20194501504447362,1.0,0.02210368488637956,0.04727412596858066,0.06937781085496023,25,0.1
123,377,377,515,0,558,0,0.045,0.0,0.06868694286626577,0.20209493339802034,1.0,0.021279183624523097,0.04740775924174267,0.06868694286626577,25,0.1
124,387,376,524,0,563,0,0.045,0.0,0.06854274036138812,0.20212622534157879,1.0,0.021003081766154005,0.04753965859523412,0.06854274036138812,26,0.1
125,394,375,506,0,586,0,0.045,0.0,0.06843225725070005,0.2021502001765981,1.0,0.02076221196432994,0.04767004528637011,0.06843225725070005,25,0.1
126,395,374,504,0,595,0,0.045,0.0,0.06905518266367507,0.20201502536198251,1.0,0.02125167684670763,0.047803505816967434,0.06905518266367507,25,0.1
127,404,373,506,0,608,0,0.045,0.0,0.06924517937756439,0.20197379607506855,1.0,0.021307860198550053,0.04793731917901433,0.06924517937756439,25,0.1
128,410,372,509,0,622,0,0.045,0.0,0.06932266805038571,0.2019569810330663,1.0,0.02125188702088025,0.04807078102950546,0.06932266805038571,25,0.1
129,416,371,515,0,634,0,0.045,0.0,0.06937217190018177,0.20194623869766057,1.0,0.021168452985924704,0.048203718914257065,0.06937217190018177,25,0.1
130,429,370,523,0,647,0,0.045,0.0,0.06933951774115081,0.20195332465017027,1.0,0.021003894370248584,0.04833562337090223,0.06933951774115081,26,0.1
131,436,369,524,0,670,0,0.045,0.0,0.06925564965075265,0.2019715240257867,1.0,0.02078946841818422,0.04846618123256843,0.06925564965075265,26,0.1
132,438,368,539,0,651,0,0.045,0.0,0.06935971303561896,0.2019489422712707,1.0,0.02076313928831988,0.048596573747299074,0.06935971303561896,26,0.1
133,447,367,558,0,654,0,0.045,0.0,0.06910081714395029,0.20200512267976278,1.0,0.020376280356015443,0.04872453678793485,0.06910081714395029,27,0.1
134,457,366,557,0,669,0,0.045,0.0,0.06876094266983782,0.2020788754406452,1.0,0.019911362525244426,0.04884958014459338,0.06876094266983782,27,0.1
135,463,365,569,0,679,0,0.045,0.0,0.0689100972843883,0.20204650888928774,1.0,0.019935323309411807,0.04897477397497649,0.0689100972843883,28,0.1
