Timestep,Lymphocytes,TriggeringCells,TumorCells,TumorCellsRad,DoomedCells,DoomedCellsRad,Lymphocytes DieProb,Tumor DieProbRad,Tumor DieProbImm,Tumor DivProb,SurvivingFractionTLast,PrimaryImmuneResponse,SecondaryImmuneResponse,ImmuneResponse,LymphocyteMigrationAttempted,ImmuneSuppression
0,0,500,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
1,0,499,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
2,0,498,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
3,0,497,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
4,0,496,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
5,0,495,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
6,0,494,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
7,0,493,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
8,0,492,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
9,0,491,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
10,0,490,1,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
11,0,489,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
12,0,488,2,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
13,0,487,4,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
14,0,486,4,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
15,0,485,5,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
16,0,484,7,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
17,0,483,9,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
18,0,482,11,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
19,0,481,12,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
20,0,480,13,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
21,0,479,15,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
22,0,478,16,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
23,0,477,18,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,0,0.51
24,1,476,23,0,0,0,0.045,0.0,0.0,0.217,1.0,0.0,0.0,0.0,1,0.51
25,2,475,25,0,0,0,0.045,0.0,0.02650861801055181,0.21124762989171025,1.0,0.02634318282242697,1.6543518812484138E-4,0.02650861801055181,1,0.51
26,3,474,27,0,1,0,0.045,0.0,0.028115134668024528,0.21089901577703868,1.0,0.027775270779405024,3.3986388861950495E-4,0.028115134668024528,1,0.51
27,4,473,29,0,3,0,0.045,0.0,0.02793251114657483,0.21093864508119325,1.0,0.027420446851726482,5.120642948483472E-4,0.02793251114657483,1,0.51
28,5,472,32,0,4,0,0.045,0.0,0.027338478798519285,0.2110675501007213,1.0,0.026658996008736075,6.794827897832098E-4,0.027338478798519285,1,0.51
29,6,471,37,0,4,0,0.045,0.0,0.02611686928620683,0.2113326393648931,1.0,0.02527863665821006,8.382326279967689E-4,0.02611686928620683,1,0.51
30,7,470,39,0,7,0,0.045,0.0,0.024141521083581186,0.2117612899248629,1.0,0.02315785711291531,9.83663970665877E-4,0.024141521083581186,1,0.51
31,9,469,43,0,6,0,0.045,0.0,0.02359474870658969,0.21187993953067003,1.0,0.022469973303577348,0.0011247754030123426,0.02359474870658969,2,0.51
32,10,468,46,0,6,0,0.045,0.0,0.022448456450925747,0.2121286849501491,1.0,0.02119060405445145,0.0012578523964742977,0.022448456450925747,2,0.51
33,12,467,51,0,7,0,0.045,0.0,0.021693780768496432,0.21229244957323626,1.0,0.020308391672319966,0.001385389096176467,0.021693780768496432,2,0.51
34,13,466,56,0,8,0,0.045,0.0,0.02052674477377773,0.21254569638409024,1.0,0.019021898157174207,0.001504846616603521,0.02052674477377773,2,0.51
35,16,465,63,0,11,0,0.045,0.0,0.019517241220083126,0.21276475865524197,1.0,0.017899982712047943,0.0016172585080351822,0.019517241220083126,3,0.51
36,18,464,70,0,11,0,0.045,0.0,0.01831176189319491,0.2130263476691767,1.0,0.016590316199427323,0.0017214456937675857,0.01831176189319491,3,0.51
37,22,463,82,0,11,0,0.045,0.0,0.01730407142418898,0.21324501650095098,1.0,0.015485377559348685,0.0018186938648402954,0.01730407142418898,4,0.51
38,26,462,87,0,9,0,0.045,0.0,0.01586495037786965,0.2135573057680023,1.0,0.013958596526840797,0.0019063538510288556,0.01586495037786965,4,0.51
39,29,461,90,0,11,0,0.045,0.0,0.015420999756148579,0.21365364305291576,1.0,0.013430303598521012,0.0019906961576275674,0.015420999756148579,4,0.51
40,33,460,100,0,11,0,0.045,0.0,0.01520956865271246,0.21369952360236139,1.0,0.013136376053469106,0.0020731925992433535,0.01520956865271246,5,0.51
41,37,459,104,0,10,0,0.045,0.0,0.01440290643117118,0.21387456930443585,1.0,0.01225276645856802,0.0021501399726031605,0.01440290643117118,5,0.51
42,41,458,115,0,10,0,0.045,0.0,0.014165978691030584,0.21392598262404638,1.0,0.011940850179301412,0.002225128511729173,0.014165978691030584,5,0.51
43,44,457,127,0,8,0,0.045,0.0,0.013466168240105589,0.21407784149189707,1.0,0.011170886560774751,0.0022952816793308387,0.013466168240105589,6,0.51
44,45,456,135,0,8,0,0.045,0.0,0.012819292834533898,0.21421821345490616,1.0,0.010458332825061672,0.002360960009472226,0.012819292834533898,6,0.51
45,51,455,144,0,9,0,0.045,0.0,0.012466079019839272,0.21429486085269486,1.0,0.010042054905560129,0.0024240241142791438,0.012466079019839272,7,0.51
46,57,454,156,0,11,0,0.045,0.0,0.012106061725152995,0.2143729846056418,1.0,0.00962161387573424,0.002484447849418755,0.012106061725152995,7,0.51
47,65,453,167,0,11,0,0.045,0.0,0.011665324256618988,0.21446862463631367,1.0,0.009123580322773217,0.0025417439338457706,0.011665324256618988,8,0.51
48,68,452,178,0,12,0,0.045,0.0,0.01131659312951564,0.2145442992908951,1.0,0.008720087049002135,0.002596506080513504,0.01131659312951564,8,0.51
49,74,451,185,0,11,0,0.045,0.0,0.011006716431556767,0.21461154253435216,1.0,0.008357723845294813,0.0026489925862619554,0.011006716431556767,9,0.51
50,77,450,193,0,17,0,0.045,0.0,0.010846471830845715,0.21464631561270647,1.0,0.008146320352768374,0.0027001514780773408,0.010846471830845715,9,0.51
51,83,449,203,0,19,0,0.045,0.0,0.0106699353055404,0.21468462403869773,1.0,0.007920045938966351,0.0027498893665740495,0.0106699353055404,10,0.51
52,89,448,210,0,19,0,0.045,0.0,0.01045634725614085,0.21473097264541743,1.0,0.007658363367618158,0.0027979838885226916,0.01045634725614085,10,0.51
53,96,447,219,0,21,0,0.045,0.0,0.010332675871985525,0.21475780933577915,1.0,0.007487669419508322,0.002845006452477204,0.010332675871985525,10,0.51
